key,time,all_swamps___alg_sample,all_swamps___total_rabbits,all_swamps___total_rabbits_per_wolves,all_swamps___total_wolves,blue_swamp___rabbits,blue_swamp___rabbits_per_wolves,blue_swamp___wolves,green_swamp___rabbits,green_swamp___rabbits_per_wolves,green_swamp___wolves,ratio
0-0,72,15,524.0498964666,19.1041180984,27.4312529773,523.8689546097,26.3283487409,19.8975241389,0.1809418539,0.0240175692,7.5337288384,19.1041180984
0-0,73,15,379.0679831445,14.2646063819,26.5740233551,378.7928347627,18.5672872536,20.4010865772,0.2751483788,0.044573335,6.1729367779,14.2646063819
0-0,74,15,276.7827122534,11.2008098467,24.7109553722,276.3347595691,14.0607267929,19.652949925,0.4479526813,0.0885631077,5.0580054472,11.2008098467
0-0,75,15,215.6603452033,9.6602133428,22.3245944526,214.8891231013,11.8200535554,18.1800464857,0.771222099,0.1860811131,4.1445479669,9.6602133428
0-0,76,15,184.34783412,9.2948687563,19.8332907062,182.9578161592,11.1307987357,16.437078821,1.3900179579,0.4092848164,3.3962118852,9.2948687563
0-0,77,15,174.2457118691,9.963342747,17.4886798832,171.6446068471,11.6721842902,14.7054400941,2.601105019,0.9345601587,2.7832397891,9.963342747
0-0,78,15,181.5273788352,11.7739801457,15.4176732582,176.5080880995,13.436590764,13.1363744867,5.0192907328,2.200189995,2.2812987716,11.7739801457
0-0,79,15,206.6348897378,15.1063356055,13.6786905266,196.7025110408,16.6581942268,11.8081532946,9.9323786941,5.3099069745,1.870537232,15.1063356055
0-0,80,15,254.1592834435,20.6606004907,12.3016406788,234.0960568062,21.7423987625,10.7667998993,20.0632266345,13.0718618524,1.5348407795,20.6606004907
0-0,81,15,333.7269441653,29.4950667505,11.3146699069,292.5130904547,29.0959522067,10.053394657,41.213853708,32.6763358825,1.26127525,29.4950667505
0-0,82,15,462.1371763838,42.9287557325,10.7652124665,376.3119267693,38.693394366,9.7254824224,85.8252496118,82.5457051052,1.0397300441,42.9287557325
0-0,83,15,667.4474667362,62.1449811708,10.7401668511,486.7464149123,49.2790877712,9.8773422343,180.7010518212,209.4296434093,0.8628246168,62.1449811708
0-0,84,15,997.8697104793,87.6815493469,11.380612203,614.1039047479,57.6388219131,10.6543451855,383.7658057287,528.4086933039,0.7262670175,87.6815493469
0-0,85,15,1546.8615268748,120.3224055639,12.8559724153,726.5630889468,59.4290665026,12.225719361,820.2984379253,1301.5382191405,0.6302530543,120.3224055639
0-0,86,15,2530.2372251748,166.4072818317,15.2050871652,769.8042875331,52.6504238589,14.621046349,1760.4329376391,3014.2292947493,0.5840408162,166.4072818317
0-0,87,15,4484.2746540087,248.8398111086,18.0207284117,704.4221698871,40.490074659,17.3974035815,3779.8524841191,6064.0171877734,0.6233248302,248.8398111086
0-0,88,15,8615.3088064744,420.5651709457,20.4850743753,559.1753997849,28.5501196285,19.5857462968,8056.1334066869,8957.9471597191,0.8993280785,420.5651709457
0-0,89,15,16922.2343136775,741.3437298219,22.8264348007,407.6167078334,19.9680943311,20.4134005516,16514.617605841,6843.921760445,2.4130342491,741.3437298219
0-0,90,15,25078.9368129872,673.4084733401,37.241789799,295.0708448792,14.8279815787,19.8995961327,24783.8659681048,1429.1078997862,17.3421936663,673.4084733401
0-0,91,15,4926.5141846274,57.4751885208,85.7154941361,225.5213338351,12.1629225055,18.5417060524,4700.9928507891,69.982548028,67.1737880837,57.4751885208
0-0,92,15,434.6186368062,5.3846349005,80.714597153,187.996998199,11.17141239,16.8284001733,246.6216386039,3.8603274301,63.8861969797,5.3846349005
0-0,93,15,194.4577493778,2.8643848408,67.8881366114,172.6593585657,11.451325287,15.0776747876,21.798390809,0.412766525,52.8104618238,2.8643848408
0-0,94,15,177.5501302489,3.1272098407,56.7758926618,174.1330816929,12.9330662734,13.4641760903,3.4170485528,0.0788943229,43.3117165714,3.1272098407
0-0,95,15,191.7286547707,4.0302658586,47.5722102455,190.8649783443,15.8024707767,12.0781731567,0.8636764232,0.0243330005,35.4940370888,4.0302658586
0-0,96,15,224.5090868637,5.6051760055,40.0538870934,224.1859435217,20.4360618066,10.9701147728,0.3231433388,0.011110778,29.0837723206,5.6051760055
0-0,97,15,277.7357841262,8.1661257904,34.0107158837,277.5690336396,27.2654979575,10.1802297567,0.1667504834,0.0069973597,23.8304861269,8.1661257904
