key,time,all_swamps___total_rabbits
0-0,320,314.298648205
0-0,321,411.23818331
0-0,322,530.889993315
0-0,323,656.478454821
0-0,324,759.665531527
0-0,325,837.872818958
0-0,326,983.311755124
0-0,327,1419.95629478
0-0,328,2540.10850077
0-0,329,5082.89265806
0-0,330,10434.4951341
0-0,331,19393.0140346
0-0,332,12134.5352105
0-0,333,889.12370264
0-0,334,234.477702301
0-0,335,234.058712296
0-0,336,292.369118868
0-0,337,377.378288781
0-0,338,481.689052545
0-0,339,585.183150124
0-0,340,646.786960313
0-0,341,623.210242922
0-0,342,516.958167539
0-0,343,384.539398263
0-0,344,276.805392509
0-0,345,206.780568709
0-0,346,167.224043449
0-0,347,148.895785891
0-0,348,146.092932513
0-0,349,156.729251425
0-0,350,181.621399456
0-0,351,224.08792036
0-0,352,289.723221858
0-0,353,385.74522888
0-0,354,519.068543177
0-0,355,693.452502653
0-0,356,913.550658477
0-0,357,1222.18779799
0-0,358,1800.83119996
0-0,359,3110.09587244
0-0,360,6062.48943554
0-0,361,12216.614111
0-0,362,20890.3671189
0-0,363,7432.61509988
0-0,364,529.733864827
0-0,365,181.301447217
0-0,366,175.749614349
0-0,367,207.707874812
0-0,368,260.816890869
0-0,369,336.420870189
0-0,370,433.913454373
0-0,371,541.698916113
0-0,372,627.967877277
0-0,373,645.572495465
0-0,374,571.175744498
0-0,375,442.196005522
0-0,376,319.85951929
0-0,377,233.550680157
0-0,378,181.97531159
0-0,379,155.553653238
0-0,380,147.029430379
0-0,381,153.173738522
0-0,382,174.359585718
0-0,383,214.460914243
0-0,384,281.600516744
0-0,385,389.95373299
0-0,386,563.195614915
0-0,387,842.007608398
0-0,388,1305.2497346
0-0,389,2135.02722076
0-0,390,3783.85408152
0-0,391,7269.64200594
0-0,392,14279.0685934
0-0,393,21161.736232
0-0,394,4157.01807839
0-0,395,366.733447362
0-0,396,164.084451876
0-0,397,149.817715651
0-0,398,161.781627771
0-0,399,189.441925442
0-0,400,234.354887119
0-0,401,300.0323221
0-0,402,388.478344802
0-0,403,494.309050862
0-1,404,337.522063073
0-1,405,288.370482929
0-1,406,309.326428204
0-1,407,334.567208884
0-1,408,354.626641623
0-1,409,364.616565284
0-1,410,361.581298317
0-1,411,345.484989493
0-1,412,319.477546867
0-1,413,288.648880569
0-1,414,258.051556767
0-1,415,231.293048033
0-1,416,210.237273987
0-1,417,195.449580784
0-1,418,186.811146459
0-1,419,183.98288976
0-1,420,186.652860422
0-1,421,194.618944652
0-1,422,207.75751087
0-1,423,225.901237662
0-1,424,248.632654745
0-1,425,274.99571852
0-1,426,303.167592697
0-1,427,330.220255382
0-1,428,352.220577504
0-1,429,364.967768985
0-1,430,365.432963248
0-1,431,353.36849104
0-1,432,332.048841202
0-1,433,307.547991226
0-1,434,287.256682231
0-1,435,279.149246865
0-1,436,292.867795127
0-1,437,343.001907765
0-1,438,455.125968059
0-1,439,676.324289726
0-1,440,1093.94170693
0-1,441,1869.38452522
0-1,442,3298.14055835
0-1,443,5908.55354251
0-1,444,10561.9184244
0-1,445,17776.2256262
0-1,446,16711.896831
0-1,447,2105.62039275
0-1,448,459.29047411
0-1,449,372.906474973
0-1,450,365.814020586
0-1,451,353.091433142
0-1,452,329.961494185
0-1,453,300.212700419
0-1,454,268.996724149
0-1,455,240.516409112
0-1,456,217.242702373
0-1,457,200.142353461
0-1,458,189.281873643
0-1,459,184.361313657
0-1,460,185.040799841
0-1,461,191.074964335
0-1,462,202.320448134
0-1,463,218.643514803
0-1,464,239.743278133
0-1,465,264.891965086
0-1,466,292.608566837
0-1,467,320.360616818
0-1,468,344.493814672
0-1,469,360.695793145
0-1,470,365.170471992
0-1,471,356.240373199
0-1,472,335.431366301
0-1,473,307.101384343
0-1,474,276.744168379
0-1,475,249.202371665
0-1,476,227.885845521
0-1,477,215.114203188
0-1,478,213.128363724
0-1,479,225.453997907
0-1,480,258.741602897
0-1,481,325.670163198
0-1,482,450.044510065
0-1,483,676.103482555
0-1,484,1085.65267478
0-1,485,1829.41838906
0-1,486,3183.25820001
0-1,487,5642.32015829
0-1,488,10029.679815
0-1,489,17044.1682174
0-1,490,18364.8284546
0-1,491,2781.20005107
0-1,492,486.622200277
0-1,493,324.869050094
0-1,494,282.160647387
0-1,495,250.818797144
0-1,496,225.185795577
0-1,497,205.713232547
0-1,498,192.567811778
0-1,499,185.502388275
0-1,500,184.158760177
0-1,501,188.247996842
0-1,502,197.593904127
0-1,503,212.074019294
0-1,504,231.474191013
0-2,505,337.522063073
0-2,506,249.665103069
0-2,507,225.21924289
0-2,508,205.89131099
